ProductKey,Product,Categories,ProductName
1,FUR-BO-10001798,Furniture,Bush Somerset Collection Bookcase
2,OFF-LA-10000240,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal
3,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table
4,FUR-FU-10001487,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
5,OFF-PA-10002365,Office Supplies,Xerox 1967
6,OFF-BI-10003656,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine
7,OFF-AP-10002311,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
8,OFF-ST-10004186,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
9,OFF-ST-10000107,Office Supplies,Fellowes Super Stor/Drawer
10,OFF-AR-10003056,Office Supplies,Newell 341
11,OFF-AR-10000246,Office Supplies,Newell 318
12,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray"
13,OFF-BI-10001634,Office Supplies,Wilson Jones Active Use Binders
14,FUR-BO-10004834,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
15,OFF-PA-10000249,Office Supplies,Easy-staple paper
16,TEC-PH-10004977,Technology,GE 30524EE4
17,OFF-EN-10002986,Office Supplies,#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes
18,TEC-PH-10004093,Technology,Panasonic Kx-TS550
19,OFF-ST-10003479,Office Supplies,"Eldon Base for stackable storage shelf, platinum"
20,OFF-ST-10003282,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
21,TEC-AC-10000171,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
22,OFF-ST-10001713,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
23,TEC-AC-10002167,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
24,OFF-BI-10004410,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
25,OFF-FA-10000304,Office Supplies,Advantus Push Pins
26,OFF-ST-10000604,Office Supplies,Home/Office Personal File Carts
27,TEC-AC-10004633,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
28,FUR-CH-10001146,Furniture,"Global Value Mid-Back Manager's Chair, Gray"
29,OFF-AR-10002671,Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
30,OFF-PA-10000482,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
31,OFF-BI-10004654,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets
32,OFF-PA-10004675,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
33,FUR-CH-10000513,Furniture,High-Back Leather Manager's Chair
34,OFF-BI-10004182,Office Supplies,Economy Binders
35,FUR-FU-10003194,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
36,OFF-AP-10002118,Office Supplies,1.7 Cubic Foot Compact "Cube" Office Refrigerators
37,OFF-AR-10002053,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
38,OFF-EN-10000927,Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
39,OFF-ST-10003656,Office Supplies,Safco Industrial Wire Shelving
40,FUR-CH-10000863,Furniture,Novimex Swivel Fabric Task Chair
41,TEC-AC-10001998,Technology,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
42,OFF-ST-10003442,Office Supplies,Eldon Portable Mobile Manager
43,OFF-AR-10004930,Office Supplies,Turquoise Lead Holder with Pocket Clip
44,OFF-PA-10003177,Office Supplies,Xerox 1999
45,OFF-BI-10004738,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder
46,FUR-FU-10000629,Furniture,9-3/4 Diameter Round Wall Clock
47,OFF-BI-10001721,Office Supplies,Trimflex Flexible Post Binders
48,OFF-AP-10000358,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors
49,OFF-PA-10003256,Office Supplies,Avery Personal Creations Heavyweight Cards
50,OFF-PA-10004040,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
51,TEC-AC-10001552,Technology,Logitech K350 2.4Ghz Wireless Keyboard
52,TEC-AC-10003499,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
53,TEC-AC-10000844,Technology,Logitech Gaming G510s - Keyboard
54,FUR-FU-10001934,Furniture,Magnifier Swing Arm Lamp
55,OFF-AR-10000380,Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
56,OFF-FA-10000621,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes"
57,FUR-TA-10001768,Furniture,Hon Racetrack Conference Tables
58,OFF-BI-10003650,Office Supplies,GBC DocuBind 300 Electric Binding Machine
59,FUR-FU-10002157,Furniture,Artistic Insta-Plaque
60,FUR-CH-10004063,Furniture,Global Deluxe High-Back Manager's Chair
61,FUR-TA-10004534,Furniture,Bevis 44 x 96 Conference Tables
62,OFF-BI-10003274,Office Supplies,"Avery Durable Slant Ring Binders, No Labels"
63,TEC-PH-10002293,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
64,OFF-PA-10001804,Office Supplies,Xerox 195
65,FUR-FU-10004848,Furniture,Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock
66,OFF-AR-10000940,Office Supplies,Newell 343
67,OFF-AP-10001058,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
68,FUR-FU-10000521,Furniture,Seth Thomas 14" Putty-Colored Wall Clock
69,TEC-PH-10000215,Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C
70,OFF-AP-10000326,Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
71,OFF-PA-10001950,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes
72,OFF-AR-10001547,Office Supplies,Newell 311
73,OFF-LA-10002475,Office Supplies,Avery 519
74,OFF-PA-10002751,Office Supplies,Xerox 1920
75,TEC-AC-10003657,Technology,Lenovo 17-Key USB Numeric Keypad
76,OFF-EN-10001990,Office Supplies,Staple envelope
77,OFF-BI-10004002,Office Supplies,Wilson Jones International Size A4 Ring Binders
78,OFF-AR-10004441,Office Supplies,BIC Brite Liner Highlighters
79,OFF-PA-10000659,Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”"
80,OFF-AP-10000891,Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
81,OFF-AP-10002684,Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
82,FUR-CH-10004698,Furniture,"Padded Folding Chairs, Black, 4/Carton"
83,OFF-AR-10001940,Office Supplies,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
84,OFF-ST-10003455,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black"
85,TEC-PH-10003273,Technology,AT&T TR1909W
86,OFF-BI-10001890,Office Supplies,Avery Poly Binder Pockets
87,TEC-AC-10002323,Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
88,OFF-ST-10001328,Office Supplies,"Personal Filing Tote with Lid, Black/Gray"
89,FUR-BO-10002613,Furniture,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
90,OFF-EN-10001509,Office Supplies,Poly String Tie Envelopes
91,OFF-AR-10004685,Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
92,OFF-ST-10001414,Office Supplies,Decoflex Hanging Personal Folder File
93,OFF-BI-10000343,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
94,OFF-PA-10002666,Office Supplies,Southworth 25% Cotton Linen-Finish Paper & Envelopes
95,FUR-TA-10004289,Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
96,OFF-AP-10003217,Office Supplies,Eureka Sanitaire  Commercial Upright
97,FUR-FU-10002960,Furniture,"Eldon 200 Class Desk Accessories, Burgundy"
98,TEC-PH-10001918,Technology,Nortel Business Series Terminal T7208 Digital phone
99,OFF-ST-10000642,Office Supplies,"Tennsco Lockers, Gray"
100,TEC-AC-10001266,Technology,Memorex Micro Travel Drive 8 GB
101,OFF-LA-10004544,Office Supplies,Avery 505
102,OFF-FA-10000585,Office Supplies,OIC Bulk Pack Metal Binder Clips
103,OFF-AR-10001026,Office Supplies,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
104,FUR-CH-10004860,Furniture,Global Low Back Tilter Chair
105,OFF-BI-10001679,Office Supplies,GBC Instant Index System for Binding Systems
106,FUR-TA-10001705,Furniture,Bush Advantage Collection Round Conference Table
107,OFF-PA-10002479,Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
108,OFF-PA-10003349,Office Supplies,Xerox 1957
109,FUR-CH-10002965,Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
110,OFF-PA-10004569,Office Supplies,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page"
111,OFF-ST-10001228,Office Supplies,"Fellowes Personal Hanging Folder Files, Navy"
112,FUR-FU-10002505,Furniture,Eldon 100 Class Desk Accessories
113,TEC-AC-10000290,Technology,Sabrent 4-Port USB 2.0 Hub
114,OFF-AP-10002203,Office Supplies,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac
115,TEC-MA-10000822,Technology,Lexmark MX611dhe Monochrome Laser Printer
116,TEC-PH-10001433,Technology,Cisco Small Business SPA 502G VoIP phone
117,TEC-AC-10004469,Technology,Microsoft Sculpt Comfort Mouse
118,OFF-AR-10003602,Office Supplies,"Quartet Omega Colored Chalk, 12/Pack"
119,OFF-FA-10003472,Office Supplies,Bagged Rubber Bands
120,OFF-ST-10004180,Office Supplies,Safco Commercial Shelving
121,OFF-ST-10003208,Office Supplies,Adjustable Depth Letter/Legal Cart
122,TEC-AC-10003628,Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
123,OFF-PA-10002615,Office Supplies,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled"
124,OFF-PA-10000673,Office Supplies,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad"
125,OFF-BI-10004967,Office Supplies,Round Ring Binders
126,FUR-TA-10002903,Furniture,Bevis Round Bullnose 29" High Table Top
127,OFF-PA-10000474,Office Supplies,Easy-staple paper
128,OFF-BI-10000778,Office Supplies,GBC VeloBinder Electric Binding Machine
129,OFF-FA-10002983,Office Supplies,Advantus SlideClip Paper Clips
130,FUR-FU-10004091,Furniture,Howard Miller 13" Diameter Goldtone Round Wall Clock
131,OFF-PA-10002105,Office Supplies,Xerox 223
132,FUR-TA-10002533,Furniture,BPI Conference Tables
133,FUR-FU-10002671,Furniture,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp
134,OFF-AR-10003651,Office Supplies,Newell 350
